animals_code,name,sex,age,species_code,herd,capture_site,data_source,note,insert_timestamp,commonHerd,coreGYE,Fed
ELK_1033,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_1034,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_1035,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_402,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_404,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_405,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_406,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_540,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_541,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_542,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_543,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_544,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_694,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_695,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_698,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_699,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_700,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_701,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_825,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_826,,"","",1,Afton,Forest Park,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_024,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_026,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_027,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_028,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_043,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_112,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_119,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_121,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_129,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_133,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_170,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_397,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_399,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
